scenario,operation,dataset_files,sequence,phase,phase_ms
ycsb-b,read,10,34,preflight.cloud_head_fetch,524.035
ycsb-b,read,10,34,preflight.outbox_replay,0.069
ycsb-b,read,10,34,preflight.relay_fetch_r2,2366.245
ycsb-b,read,10,34,preflight.total,2896.343
ycsb-b,read,10,34,read.blob_decrypt_verify,0.095
ycsb-b,read,10,34,read.blob_fetch,663.706
ycsb-b,read,10,34,read.path_resolution,4693.135
ycsb-b,read,10,35,auth.kdf_identity,194.305
ycsb-b,read,10,35,preflight.checkpoint_evaluation,0.742
ycsb-b,read,10,35,preflight.cloud_head_fetch,545.301
ycsb-b,read,10,35,preflight.outbox_replay,0.071
ycsb-b,read,10,35,preflight.relay_fetch_r2,2315.646
ycsb-b,read,10,35,preflight.total,2867.691
ycsb-b,read,10,35,read.blob_decrypt_verify,0.267
ycsb-b,read,10,35,read.blob_fetch,710.628
ycsb-b,read,10,35,read.path_resolution,5116.956
ycsb-b,read,10,36,auth.kdf_identity,185.595
ycsb-b,read,10,36,preflight.checkpoint_evaluation,0.799
ycsb-b,read,10,36,preflight.cloud_head_fetch,474.015
ycsb-b,read,10,36,preflight.outbox_replay,0.081
ycsb-b,read,10,36,preflight.relay_fetch_r2,2488.872
ycsb-b,read,10,36,preflight.total,2970.176
ycsb-b,read,10,36,read.blob_decrypt_verify,0.197
ycsb-b,read,10,36,read.blob_fetch,641.869
ycsb-b,read,10,36,read.path_resolution,4979.91
ycsb-b,read,10,37,auth.kdf_identity,184.363
ycsb-b,read,10,37,preflight.checkpoint_evaluation,0.807
ycsb-b,read,10,37,preflight.cloud_head_fetch,1701.118
ycsb-b,read,10,37,preflight.outbox_replay,0.073
ycsb-b,read,10,37,preflight.relay_fetch_r2,2283.684
ycsb-b,read,10,37,preflight.total,3992.021
ycsb-b,read,10,37,read.blob_decrypt_verify,0.242
ycsb-b,read,10,37,read.blob_fetch,610.699
ycsb-b,read,10,37,read.path_resolution,3690.736
ycsb-b,read,10,38,auth.kdf_identity,183.401
ycsb-b,read,10,38,preflight.checkpoint_evaluation,0.746
ycsb-b,read,10,38,preflight.cloud_head_fetch,459.717
ycsb-b,read,10,38,preflight.outbox_replay,0.078
ycsb-b,read,10,38,preflight.relay_fetch_r2,2585.736
ycsb-b,read,10,38,preflight.total,3051.987
ycsb-b,read,10,38,read.blob_decrypt_verify,0.279
ycsb-b,read,10,38,read.blob_fetch,579.065
ycsb-b,read,10,38,read.path_resolution,4788.39
ycsb-b,read,10,39,auth.kdf_identity,190.608
ycsb-b,read,10,39,preflight.checkpoint_evaluation,0.775
ycsb-b,read,10,39,preflight.cloud_head_fetch,514.771
ycsb-b,read,10,39,preflight.outbox_replay,0.079
ycsb-b,read,10,39,preflight.relay_fetch_r2,2392.028
ycsb-b,read,10,39,preflight.total,2917.785
ycsb-b,read,10,39,read.blob_decrypt_verify,0.169
ycsb-b,read,10,39,read.blob_fetch,605.947
ycsb-b,read,10,39,read.path_resolution,5204.968
ycsb-b,read,10,40,auth.kdf_identity,197.284
ycsb-b,read,10,40,preflight.checkpoint_evaluation,0.781
ycsb-b,read,10,40,preflight.cloud_head_fetch,1534.013
ycsb-b,read,10,40,preflight.outbox_replay,0.076
ycsb-b,read,10,40,preflight.relay_fetch_r2,2282.989
ycsb-b,read,10,40,preflight.total,3824.537
ycsb-b,read,10,40,read.blob_decrypt_verify,0.097
ycsb-b,read,10,40,read.blob_fetch,708.41
ycsb-b,read,10,40,read.path_resolution,3691.422
ycsb-b,read,10,41,auth.kdf_identity,194.084
ycsb-b,read,10,41,preflight.checkpoint_evaluation,0.497
ycsb-b,read,10,41,preflight.cloud_head_fetch,475.533
ycsb-b,read,10,41,preflight.outbox_replay,0.082
ycsb-b,read,10,41,preflight.relay_fetch_r2,2441.947
ycsb-b,read,10,41,preflight.total,2923.805
ycsb-b,read,10,41,read.blob_decrypt_verify,0.194
ycsb-b,read,10,41,read.blob_fetch,634.678
ycsb-b,read,10,41,read.path_resolution,4737.256
ycsb-b,read,10,42,auth.kdf_identity,183.708
ycsb-b,read,10,42,preflight.checkpoint_evaluation,0.568
ycsb-b,read,10,42,preflight.cloud_head_fetch,572.826
ycsb-b,read,10,42,preflight.outbox_replay,0.068
ycsb-b,read,10,42,preflight.relay_fetch_r2,2321.937
ycsb-b,read,10,42,preflight.total,2900.331
ycsb-b,read,10,42,read.blob_decrypt_verify,0.17
ycsb-b,read,10,42,read.blob_fetch,579.411
ycsb-b,read,10,42,read.path_resolution,4754.322
ycsb-b,read,10,43,auth.kdf_identity,198.182
ycsb-b,read,10,43,preflight.checkpoint_evaluation,0.761
ycsb-b,read,10,43,preflight.cloud_head_fetch,484.634
ycsb-b,read,10,43,preflight.outbox_replay,0.069
ycsb-b,read,10,43,preflight.relay_fetch_r2,2329.53
ycsb-b,read,10,43,preflight.total,2821.038
ycsb-b,read,10,43,read.blob_decrypt_verify,0.181
ycsb-b,read,10,43,read.blob_fetch,614.551
ycsb-b,read,10,43,read.path_resolution,4838.75
ycsb-b,read,10,44,auth.kdf_identity,185.777
ycsb-b,read,10,44,preflight.checkpoint_evaluation,0.826
