scenario,operation,dataset_files,sequence,phase,phase_ms
ycsb-b,read,10,45,read.path_resolution,4515.787
ycsb-b,read,10,46,auth.kdf_identity,188.544
ycsb-b,read,10,46,preflight.checkpoint_evaluation,0.696
ycsb-b,read,10,46,preflight.cloud_head_fetch,1636.251
ycsb-b,read,10,46,preflight.outbox_replay,0.069
ycsb-b,read,10,46,preflight.relay_fetch_r2,2580.575
ycsb-b,read,10,46,preflight.total,4223.623
ycsb-b,read,10,46,read.blob_decrypt_verify,0.333
ycsb-b,read,10,46,read.blob_fetch,614.633
ycsb-b,read,10,46,read.path_resolution,4039.05
ycsb-b,read,10,47,auth.kdf_identity,180.053
ycsb-b,read,10,47,preflight.checkpoint_evaluation,0.44
ycsb-b,read,10,47,preflight.cloud_head_fetch,633.949
ycsb-b,read,10,47,preflight.outbox_replay,0.067
ycsb-b,read,10,47,preflight.relay_fetch_r2,2282.791
ycsb-b,read,10,47,preflight.total,2921.32
ycsb-b,read,10,47,read.blob_decrypt_verify,0.163
ycsb-b,read,10,47,read.blob_fetch,747.917
ycsb-b,read,10,47,read.path_resolution,3685.39
ycsb-a,update,10,48,auth.kdf_identity,195.322
ycsb-a,update,10,48,commit.checkpoint_create_journal,2.83
ycsb-a,update,10,48,commit.checkpoint_publish_w2,2427.718
ycsb-a,update,10,48,commit.cloud_head_recheck,1508.98
ycsb-a,update,10,48,commit.dropbox_cas,921.179
ycsb-a,update,10,48,commit.dropbox_readback,391.119
ycsb-a,update,10,48,commit.local_finalize,4.589
ycsb-a,update,10,48,preflight.checkpoint_evaluation,2.682
ycsb-a,update,10,48,preflight.cloud_head_fetch,1507.385
ycsb-a,update,10,48,preflight.outbox_replay,0.399
ycsb-a,update,10,48,preflight.relay_fetch_r2,7038.256
ycsb-a,update,10,48,write.cas_checkpoint_finalize,10892.175
ycsb-a,update,10,48,write.head_journal,2.107
ycsb-a,update,10,48,write.object_prepare_upload,9580.813
ycsb-a,update,10,48,write.preflight,2934.917
ycsb-a,read,10,49,auth.kdf_identity,182.597
ycsb-a,read,10,49,preflight.checkpoint_evaluation,0.762
ycsb-a,read,10,49,preflight.cloud_head_fetch,574.37
ycsb-a,read,10,49,preflight.outbox_replay,0.092
ycsb-a,read,10,49,preflight.relay_fetch_r2,2393.532
ycsb-a,read,10,49,preflight.total,2975.056
ycsb-a,read,10,49,read.blob_decrypt_verify,0.478
ycsb-a,read,10,49,read.blob_fetch,693.542
ycsb-a,read,10,49,read.path_resolution,6508.764
ycsb-a,update,10,50,auth.kdf_identity,186.444
ycsb-a,update,10,50,commit.checkpoint_create_journal,2.754
ycsb-a,update,10,50,commit.checkpoint_publish_w2,2465.746
ycsb-a,update,10,50,commit.cloud_head_recheck,407.241
ycsb-a,update,10,50,commit.dropbox_cas,781.039
ycsb-a,update,10,50,commit.dropbox_readback,1430.382
ycsb-a,update,10,50,commit.local_finalize,4.161
ycsb-a,update,10,50,preflight.checkpoint_evaluation,2.548
ycsb-a,update,10,50,preflight.cloud_head_fetch,1452.585
ycsb-a,update,10,50,preflight.outbox_replay,0.385
ycsb-a,update,10,50,preflight.relay_fetch_r2,8165.742
ycsb-a,update,10,50,write.cas_checkpoint_finalize,11777.536
ycsb-a,update,10,50,write.head_journal,2.455
ycsb-a,update,10,50,write.object_prepare_upload,9439.18
ycsb-a,update,10,50,write.preflight,2955.597
ycsb-a,read,10,51,auth.kdf_identity,198.632
ycsb-a,read,10,51,preflight.checkpoint_evaluation,0.3
ycsb-a,read,10,51,preflight.cloud_head_fetch,470.691
ycsb-a,read,10,51,preflight.outbox_replay,0.07
ycsb-a,read,10,51,preflight.relay_fetch_r2,2380.111
ycsb-a,read,10,51,preflight.total,2853.881
ycsb-a,read,10,51,read.blob_decrypt_verify,0.19
ycsb-a,read,10,51,read.blob_fetch,765.52
ycsb-a,read,10,51,read.path_resolution,4645.575
ycsb-a,update,10,52,auth.kdf_identity,179.317
ycsb-a,update,10,52,commit.checkpoint_create_journal,2.486
ycsb-a,update,10,52,commit.checkpoint_publish_w2,2399.534
ycsb-a,update,10,52,commit.cloud_head_recheck,352.084
ycsb-a,update,10,52,commit.dropbox_cas,937.795
ycsb-a,update,10,52,commit.dropbox_readback,385.174
ycsb-a,update,10,52,commit.local_finalize,4.517
ycsb-a,update,10,52,preflight.checkpoint_evaluation,2.609
ycsb-a,update,10,52,preflight.cloud_head_fetch,1391.078
ycsb-a,update,10,52,preflight.outbox_replay,0.307
ycsb-a,update,10,52,preflight.relay_fetch_r2,7352.104
ycsb-a,update,10,52,write.cas_checkpoint_finalize,9918.722
ycsb-a,update,10,52,write.head_journal,1.152
ycsb-a,update,10,52,write.object_prepare_upload,9554.296
ycsb-a,update,10,52,write.preflight,2928.668
ycsb-a,update,10,53,auth.kdf_identity,193.619
ycsb-a,update,10,53,commit.checkpoint_create_journal,2.925
ycsb-a,update,10,53,commit.checkpoint_publish_w2,2289.006
ycsb-a,update,10,53,commit.cloud_head_recheck,366.246
ycsb-a,update,10,53,commit.dropbox_cas,969.813
ycsb-a,update,10,53,commit.dropbox_readback,1434.359
ycsb-a,update,10,53,commit.local_finalize,4.181
ycsb-a,update,10,53,preflight.checkpoint_evaluation,2.401
ycsb-a,update,10,53,preflight.cloud_head_fetch,1404.922
ycsb-a,update,10,53,preflight.outbox_replay,0.344
ycsb-a,update,10,53,preflight.relay_fetch_r2,7239.383
