operation,size_bytes,iteration,phase,phase_ms
add,1048576,5,preflight.relay_fetch_r2,6185.462
add,1048576,5,write.cas_checkpoint_finalize,8605.329
add,1048576,5,write.head_journal,1.706
add,1048576,5,write.object_prepare_upload,3272.962
add,1048576,5,write.preflight,3138.936
cat,1048576,5,auth.kdf_identity,192.282
cat,1048576,5,preflight.checkpoint_evaluation,0.59
cat,1048576,5,preflight.cloud_head_fetch,477.935
cat,1048576,5,preflight.outbox_replay,0.078
cat,1048576,5,preflight.relay_fetch_r2,3306.602
cat,1048576,5,preflight.total,3796.122
cat,1048576,5,read.blob_decrypt_verify,10.605
cat,1048576,5,read.blob_fetch,2816.892
cat,1048576,5,read.path_resolution,1777.556
remove,1048576,5,auth.kdf_identity,192.607
remove,1048576,5,commit.checkpoint_create_journal,1.194
remove,1048576,5,commit.checkpoint_publish_w2,1835.782
remove,1048576,5,commit.cloud_head_recheck,499.33
remove,1048576,5,commit.dropbox_cas,1028.224
remove,1048576,5,commit.dropbox_readback,402.713
remove,1048576,5,commit.local_finalize,3.7
remove,1048576,5,preflight.checkpoint_evaluation,1.291
remove,1048576,5,preflight.cloud_head_fetch,2454.71
remove,1048576,5,preflight.outbox_replay,0.284
remove,1048576,5,preflight.relay_fetch_r2,5128.31
remove,1048576,5,write.cas_checkpoint_finalize,9011.432
remove,1048576,5,write.head_journal,1.101
remove,1048576,5,write.object_prepare_upload,4762.431
remove,1048576,5,write.preflight,2354.455
add,10485760,1,auth.kdf_identity,189.017
add,10485760,1,commit.checkpoint_create_journal,1.676
add,10485760,1,commit.checkpoint_publish_w2,1740.069
add,10485760,1,commit.cloud_head_recheck,412.883
add,10485760,1,commit.dropbox_cas,4458.889
add,10485760,1,commit.dropbox_readback,410.058
add,10485760,1,commit.local_finalize,2.809
add,10485760,1,preflight.checkpoint_evaluation,1.894
add,10485760,1,preflight.cloud_head_fetch,2720.303
add,10485760,1,preflight.outbox_replay,0.301
add,10485760,1,preflight.relay_fetch_r2,5073.36
add,10485760,1,write.cas_checkpoint_finalize,12256.641
add,10485760,1,write.head_journal,1.93
add,10485760,1,write.object_prepare_upload,4643.976
add,10485760,1,write.preflight,2578.759
cat,10485760,1,auth.kdf_identity,204.929
cat,10485760,1,preflight.checkpoint_evaluation,0.653
cat,10485760,1,preflight.cloud_head_fetch,506.455
cat,10485760,1,preflight.outbox_replay,0.074
cat,10485760,1,preflight.relay_fetch_r2,1671.972
cat,10485760,1,preflight.total,2182.29
cat,10485760,1,read.blob_decrypt_verify,75.357
cat,10485760,1,read.blob_fetch,3712.657
cat,10485760,1,read.path_resolution,1735.642
remove,10485760,1,auth.kdf_identity,178.339
remove,10485760,1,commit.checkpoint_create_journal,1.999
remove,10485760,1,commit.checkpoint_publish_w2,1755.336
remove,10485760,1,commit.cloud_head_recheck,475.524
remove,10485760,1,commit.dropbox_cas,972.71
remove,10485760,1,commit.dropbox_readback,413.734
remove,10485760,1,commit.local_finalize,3.969
remove,10485760,1,preflight.checkpoint_evaluation,2.594
remove,10485760,1,preflight.cloud_head_fetch,1432.061
remove,10485760,1,preflight.outbox_replay,0.251
remove,10485760,1,preflight.relay_fetch_r2,5169.571
remove,10485760,1,write.cas_checkpoint_finalize,7883.346
remove,10485760,1,write.head_journal,1.787
remove,10485760,1,write.object_prepare_upload,4709.757
remove,10485760,1,write.preflight,2359.532
add,10485760,2,auth.kdf_identity,177.253
add,10485760,2,commit.checkpoint_create_journal,1.946
add,10485760,2,commit.checkpoint_publish_w2,2224.519
add,10485760,2,commit.cloud_head_recheck,395.125
add,10485760,2,commit.dropbox_cas,866.781
add,10485760,2,commit.dropbox_readback,891.181
add,10485760,2,commit.local_finalize,2.163
add,10485760,2,preflight.checkpoint_evaluation,1.721
add,10485760,2,preflight.cloud_head_fetch,1534.503
add,10485760,2,preflight.outbox_replay,0.281
add,10485760,2,preflight.relay_fetch_r2,4920.072
add,10485760,2,write.cas_checkpoint_finalize,8587.393
add,10485760,2,write.head_journal,1.688
add,10485760,2,write.object_prepare_upload,6239.755
add,10485760,2,write.preflight,2264.526
cat,10485760,2,auth.kdf_identity,187.428
cat,10485760,2,preflight.checkpoint_evaluation,1.09
